INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201802,410701,DWELLING INSURANCE,2,0,101.221,101.059,101.059,0,4.34,0
201802,220323,KEBAB- TAKEAWAY,1,1,100.448,100.421,100.448,1.72,1.36,1.38
201802,212731,MELON EACH EG HONEYDEW,1,1,102.552,102.222,101.778,0.18,0.21,0.16
201802,211815,FRESH DOUBLE CREAM 250ML-300ML,1,1,99.577,99.545,99.577,0.36,0.36,0.27
201802,212726,PLUMS PER KG/PACK,1,1,97.239,95.27,96.476,0.45,0.42,0.4
201802,310216,LAGER 12 - 24 CANS (440-500ML),1,1,97.113,97.307,97.113,1.15,0.9,0.92
201802,212941,QUICHE 340G-450G,1,1,99.444,99.47,99.444,0.15,0.22,0.12
201802,630129,LAPTOP COMPUTERS,2,0,97.886,97.646,97.646,1.26,1.14,1.05
201802,211713,MILK FLAVOURED 330-500MLS/GMS,1,1,98.962,98.029,98.962,0.24,0.18,0.18
201802,510118,MEN'S CASUAL TROUSERS,2,1,106.396,103.179,103.179,1.04,0.63,0.84
201802,510212,WOMEN'S JUMPER,2,1,106.359,100.995,100.995,1.04,0.8,0.84
201802,212011,COLA FLAVD DRINK 1.5-2 LT BTL,1,1,96.722,97.309,96.722,1.36,1.2,1.19
201802,410801,HOUSE DEPRECIATION,1,0,100.289,100.289,100.289,0,83,0
201802,430623,SMALL CAGED MAMMAL,2,1,99.879,99.839,99.839,0.45,0.99,0.35
201802,210114,CHILLED GARLIC BREAD,1,1,100.952,100.235,100.952,0.75,0.96,0.6
201802,320122,20 FILTER - OTHER BRAND,1,1,100.29,100.294,100.29,4.62,4.56,3.78
201802,610238,CAR WASH HAND OR AUTOMATIC,2,1,100.158,100.145,100.145,1.68,0.8,1.33
201802,212217,CHEWING/BUBBLE GUM-SINGLE PK,1,1,100.351,100.313,100.351,0.13,0.33,0.11
201802,212405,FROZEN CHIPS 900G-1.5KG,1,1,101.371,101.111,100.5,0.91,0.96,0.7
201802,520331,BASIC MANICURE,2,1,100.227,100.217,100.217,1.33,1.44,1.14
201802,620101,LONDON TRANSPORT RAIL FARES,1,0,100,100,100,2.99,1.26,2.53
201802,210212,BASMATI RICE 500G-1KG,1,1,103.213,103.494,103.213,0.3,0.45,0.24
201802,520306,PRIVATE HEALTH CARE 2,1,0,100,100,100,0.44,0.8,0.44
201802,211207,"CANNED FISH, TUNA, 130G-200G",1,1,105.51,104.668,105.51,1,0.96,0.75
201802,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,99.85,99.928,99.85,0.8,0.9,0.64
201802,640224,TEN-PIN BOWLING PER GAME,1,2,100.67,100.562,100.67,0.32,0.48,0.28
201802,610303,OIL PER LITRE-MULTIGRADE,1,1,100.578,100.632,100.578,0.31,0.34,0.25
201802,212006,FRUIT JUICE NOT ORANGE 1L,1,1,100.2,100.237,100.2,0.48,0.48,0.42
