INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201803,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.926,100.889,100.926,0.3,0.4,0.24
201803,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,99.89,100.685,99.89,0.6,0.68,0.48
201803,210111,WHITE SLICED LOAF BRANDED 750G,1,1,98.942,99.018,98.942,0.9,1.08,0.72
201803,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,98.863,98.92,98.863,0.75,0.88,0.6
201803,210114,CHILLED GARLIC BREAD,1,1,101.61,100.499,101.61,0.75,0.96,0.6
201803,210201,FLOUR-SELF-RAISING-1.5KG,1,1,99.91,99.883,99.91,0.3,0.12,0.24
201803,210204,DRY SPAGHETTI OR PASTA 500G,1,1,101.037,98.484,101.037,0.15,0.27,0.12
201803,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,101.8,101.622,101.8,0.65,0.45,0.5
201803,210212,BASMATI RICE 500G-1KG,1,1,105.668,104.877,105.668,0.3,0.45,0.24
201803,210213,BREAKFAST CEREAL 1,1,1,102.634,102.027,102.634,1.05,0.42,0.84
201803,210214,BREAKFAST CEREAL 2,1,1,101.296,100.663,101.296,1.95,0.75,1.56
201803,210215,CEREAL BAR,1,1,112.735,113.189,112.735,0.3,0.27,0.24
201803,210216,HOT OAT CEREAL,1,1,104.464,104.709,104.464,0.45,0.15,0.36
201803,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,106.388,106.772,106.388,0.15,0.12,0.12
201803,210301,CREAM CRACKERS PACK 200G-300G,1,1,100.207,100.118,100.207,0.6,0.6,0.48
201803,210302,PLAIN BISCUITS-200-300G,1,1,98.794,99.135,98.794,1.35,1.44,1.08
201803,210317,FRUIT PIES 4-6 PACK,1,1,88.393,87.856,88.393,0.3,0.36,0.24
201803,210319,DOUGHNUT-EACH,1,1,99.1,98.293,99.1,0.75,0.84,0.6
