INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT,IMPUTATION_FLAG
202101,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,99.1,100.099,0.32,0.3,0.26,
202101,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,98.677,101.249,0.64,0.51,0.52,
202101,210111,WHITE SLICED LOAF BRANDED 750G,1,1,98.778,101.611,0.96,0.78,0.78,
202101,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,98.853,99.346,0.8,0.63,0.65,
202101,210114,CHILLED GARLIC BREAD,1,1,102.796,103.991,0.96,0.78,0.78,
202101,210201,FLOUR-SELF-RAISING-1.5KG,1,1,95.977,99.809,0.32,0.09,0.26,
202101,210204,DRY SPAGHETTI OR PASTA 500G,1,1,98.333,96.986,0.16,0.33,0.13,
202101,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,100.937,99.164,0.39,0.24,0.33,
202101,210212,BASMATI RICE 500G-1KG,1,1,101.681,100.108,0.32,0.42,0.26,
202101,210213,BREAKFAST CEREAL 1,1,1,98.455,96.452,0.96,0.36,0.78,
202101,210214,BREAKFAST CEREAL 2,1,1,98.997,97.265,1.6,0.66,1.3,
202101,210215,CEREAL BAR,1,1,112.726,94.515,0.32,0.33,0.26,
202101,210216,HOT OAT CEREAL,1,1,101.891,96.403,0.32,0.12,0.26,
202101,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,92.979,101.214,0.16,0.12,0.13,
202101,210218,"POPCORN, BAG, 10-30G",1,1,103.614,97.815,0.64,0.27,0.52,
202101,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,92.182,97.038,0.16,0.06,0.13,
202101,210301,CREAM CRACKERS PACK 200G-300G,1,1,97.998,100.127,0.48,0.54,0.39,
202101,210302,PLAIN BISCUITS-200-300G,1,1,109.543,99.603,1.28,1.2,1.04,
202101,210319,DOUGHNUT-EACH,1,1,106.445,97.62,0.8,0.84,0.65,
202101,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,99.668,99.642,0.8,0.78,0.65,
202101,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,105.863,92.941,1.12,1.14,0.91,
202101,210323,BISCUITS HALF CHOC 260-400G,1,1,115.778,111.157,0.64,0.66,0.52,
202101,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,1,97.066,103.386,0.8,0.84,0.65,
202101,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,93.764,100.233,0.72,0.93,0.56,
202101,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,100.086,100.838,0.9,1.26,0.7,
202101,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,102.474,102.623,0.36,0.36,0.28,
202101,210416,BEEF ROASTING JOINT PER KG,1,1,94.789,107.702,0.36,0.45,0.28,
202101,210502,HOME KILLED LAMB-SHOULDER KG,1,1,101.769,97.711,0.9,0.62,0.7,PARTIAL
202101,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,97.808,99.381,0.54,0.38,0.42,
202101,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,103.261,100.248,0.9,1,0.7,
202101,210802,BACON-GAMMON-PER KG,1,1,102.619,99.806,0.54,0.23,0.42,
202101,210808,BACON-BACK-PER KG,1,1,94.507,100.279,1.62,0.77,1.26,
202101,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,102.657,101.26,0.72,0.78,0.56,PARTIAL
202101,210910,FRESH BONELESS CHICKEN BREAST,1,1,98.174,100.695,1.44,1.71,1.12,
202101,210913,ROTISSERIE CHICKEN [WHOLE],1,1,77.049,100.05,0.18,0.18,0.14,FULL
202101,210914,FRESH TURKEY DICED/MIN PER KG,1,1,92.563,99.462,0.18,0.33,0.14,
202101,211007,CANNED MEAT-STEWED STEAK,1,1,102.754,101.812,0.18,0.18,0.14,
202101,211011,INDIVIDUAL MEAT PIE,1,1,97.496,101.556,0.72,0.84,0.56,
202101,211014,SAUSAGES-PORK-PER KG,1,1,99.575,99.446,1.62,0.78,1.26,
202101,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,95.218,101.269,0.54,0.54,0.42,
202101,211023,COOKED HAM PREPACKED SLICED,1,1,102.947,104.059,2.16,1.02,1.68,
202101,211024,CONTINENTAL SLICED DELI MEAT,1,1,105.389,102.812,0.9,0.42,0.7,
202101,211025,JOINT OV/READ GAM/POR 450-900G,1,1,97.542,100.259,0.18,0.06,0.14,
202101,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,100.293,100.863,0.54,0.54,0.42,
202101,211027,H K LIVER PER KG STATE TYPE,1,1,97.583,99.929,0.18,0.06,0.14,
202101,211029,COOKED MEAT TURKEY/CHICK SLICE,1,1,97.521,98.748,0.36,0.54,0.28,
202101,211030,MEAT BASED SNACK PACK MAX 400G,1,1,95.211,96.581,0.72,0.72,0.56,
202101,211031,COOKED HAM LOOSE PER 100G,1,1,93.143,101.255,0.54,0.3,0.42,PARTIAL
202101,211101,FRESH WHITE FISH FILLETS KG,1,1,102.19,100.247,0.27,0.58,0.27,
202101,211105,FRESH FISH-SALMON FILLETS-KG,1,1,93.368,102.658,0.42,0.96,0.42,
202101,211106,FROZEN PRAWNS PER KG,1,1,98.636,105.429,0.69,0.46,0.69,
202101,211207,"CANNED FISH, TUNA, 130G-200G",1,1,92.69,95.751,0.78,0.98,0.78,
202101,211210,FROZEN FISH FINGERS 8-12 PK,1,1,108.309,102.189,0.66,0.82,0.66,
202101,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,97.583,100.152,0.18,0.2,0.18,
202101,211305,SPREADABLE BUTTER,1,1,106.945,101.629,0.4,0.55,0.4,
202101,211306,BUTTER 250G SPEC COO,1,1,97.988,101.294,0.34,0.45,0.34,
202101,211407,MARGARINE/LOW FAT SPREAD-500G,1,1,102.436,96.043,0.62,0.57,0.62,
202101,211408,OLIVE OIL - 500ML - 1 LITRE,1,1,97.161,101.6,0.58,0.37,0.58,
202101,211409,"PEANUT BUTTER, JAR, 225-350G",1,1,107.377,98.025,0.06,0.06,0.06,
202101,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,93.614,99.989,1.5,1.53,1.2,
202101,211506,"CHEESE SPREAD, 125g-200g TUB",1,1,97.227,90.443,0.5,0.57,0.4,
202101,211509,HARD REGIONAL CHEESE PER KG,1,1,97.865,100.358,0.2,0.18,0.16,
202101,211510,PARMESAN CHEESE-PER KG,1,1,97.962,100.46,0.3,0.36,0.24,
