INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT,IMPUTATION_FLAGS
202108,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,104.166,103.904,0.38,0.44,0.3, 
202108,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,104.273,104.547,0.76,0.64,0.6, 
202108,210111,WHITE SLICED LOAF BRANDED 750G,1,1,100.183,100.335,1.14,1,0.9, 
202108,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,99.123,99.441,0.95,0.8,0.75, 
202108,210114,CHILLED GARLIC BREAD,1,1,100.547,100.374,1.14,1.12,0.9, 
202108,210201,FLOUR-SELF-RAISING-1.5KG,1,1,89.041,88.803,0.38,0.2,0.3, 
202108,210204,DRY SPAGHETTI OR PASTA 500G,1,1,104.647,104.153,0.19,0.4,0.15, 
202108,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,100.293,99.098,0.6,0.32,0.48, 
202108,210212,BASMATI RICE 500G-1KG,1,1,100.783,100.752,0.38,0.52,0.3, 
202108,210213,BREAKFAST CEREAL 1,1,1,106.146,105.945,1.14,0.48,0.9, 
202108,210214,BREAKFAST CEREAL 2,1,1,104.74,104.017,1.71,0.8,1.35, 
202108,210215,CEREAL BAR,1,1,95.895,96.462,0.57,0.48,0.45, 
202108,210216,HOT OAT CEREAL,1,1,103.052,101.97,0.38,0.16,0.3, 
202108,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,98.32,98.781,0.19,0.12,0.15, 
202108,210218,"POPCORN, BAG, 10-30G",1,1,97.484,95.624,0.76,0.36,0.6, 
202108,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,100.821,101.721,0.19,0.12,0.15, 
202108,210221,COUSCOUS PLAIN/FLAVOURED,1,1,100.849,101.06,0.19,0.04,0.15, 
202108,210301,CREAM CRACKERS PACK 200G-300G,1,1,101.212,100.839,0.57,0.63,0.45, 
202108,210302,PLAIN BISCUITS-200-300G,1,1,104.661,103.886,1.52,1.4,1.2, 
202108,210319,DOUGHNUT-EACH,1,1,101.749,102.429,0.95,0.98,0.75, 
202108,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,103.506,103.787,0.95,0.91,0.75, 
202108,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,111.256,111.227,1.33,1.33,1.05, 
202108,210323,BISCUITS HALF CHOC 260-400G,1,1,96.068,97.163,0.76,0.77,0.6, 
202108,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,1,94.916,94.371,0.95,0.98,0.75, 
202108,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,100.907,100.913,0.84,1.24,0.64, 
202108,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,102.753,102.905,1.05,1.68,0.8, 
202108,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,98.55,97.76,0.42,0.52,0.32, 
202108,210416,BEEF ROASTING JOINT PER KG,1,1,103.45,103.499,0.42,0.56,0.32, 
202108,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,103.752,103.48,0.63,0.4,0.48, 
202108,210507,HOME KILLED LAMB SHOULDER KG,1,1,104.576,105.083,1.05,0.6,0.8, 
202108,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,96.813,99.533,1.05,1,0.8, 
202108,210802,BACON-GAMMON-PER KG,1,1,100.599,101.015,0.63,0.24,0.48, 
202108,210808,BACON-BACK-PER KG,1,1,98.72,98.536,1.89,0.76,1.44, 
202108,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,102.529,101.711,0.84,1.08,0.64, 
202108,210910,FRESH BONELESS CHICKEN BREAST,1,1,100.341,100.35,1.68,2.36,1.28, 
202108,210913,ROTISSERIE CHICKEN [WHOLE],1,1,101.777,101.865,0.21,0.2,0.16, 
202108,210914,FRESH TURKEY DICED/MIN PER KG,1,1,104.941,105.183,0.21,0.36,0.16, 
202108,211007,CANNED MEAT-STEWED STEAK,1,1,100.775,100.936,0.21,0.18,0.16, 
202108,211011,INDIVIDUAL MEAT PIE,1,1,101.831,102.439,0.84,0.84,0.64, 
202108,211014,SAUSAGES-PORK-PER KG,1,1,99.239,100.298,2.1,0.78,1.6, 
202108,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,99.787,99.358,0.63,0.54,0.48, 
202108,211023,COOKED HAM PREPACKED SLICED,1,1,98.248,98.691,2.52,1.02,1.92, 
202108,211024,CONTINENTAL SLICED DELI MEAT,1,1,100.899,100.66,0.84,0.36,0.64, 
202108,211025,JOINT OV/READ GAM/POR 450-900G,1,1,96.821,96.078,0.21,0.12,0.16, 
202108,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,101.051,101.967,0.63,0.54,0.48, 
202108,211027,H K LIVER PER KG STATE TYPE,1,1,101.431,101.082,0.21,0.06,0.16, 
202108,211029,COOKED MEAT TURKEY/CHICK SLICE,1,1,102.151,102.147,0.42,0.54,0.32, 
202108,211030,MEAT BASED SNACK PACK MAX 400G,1,1,101.319,101.203,0.63,0.72,0.48, 
202108,211031,COOKED HAM LOOSE PER 100G,1,1,97.194,96.976,0.84,0.3,0.64,PARTIAL
202108,211101,FRESH WHITE FISH FILLETS KG,1,1,101.317,101.508,0.32,0.54,0.24, 
202108,211105,FRESH FISH-SALMON FILLETS-KG,1,1,92.272,93.831,0.6,0.98,0.45, 
202108,211106,FROZEN PRAWNS PER KG,1,1,99.656,99.744,0.96,0.48,0.72, 
202108,211207,"CANNED FISH, TUNA, 130G-200G",1,1,104.861,103.879,1.04,1,0.78, 
202108,211210,FROZEN FISH FINGERS 8-12 PK,1,1,100.608,99.101,0.84,0.78,0.63, 
202108,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,103.06,103.567,0.24,0.22,0.18, 
202108,211305,SPREADABLE BUTTER,1,1,100.551,100.264,0.4,0.53,0.4, 
202108,211306,BUTTER 250G SPEC COO,1,1,100.534,100.513,0.36,0.47,0.36, 
202108,211407,MARGARINE/LOW FAT SPREAD-500G,1,1,125.012,123.838,0.56,1.1,0.56, 
202108,211408,OLIVE OIL - 500ML - 1 LITRE,1,1,104.195,103.829,0.6,0.76,0.6, 
202108,211409,"PEANUT BUTTER, JAR, 225-350G",1,1,100.981,101.272,0.08,0.14,0.08, 
202108,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,97.401,97.664,1.65,2.04,1.35, 
