INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202110,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,105.815,105.839,0.38,0.44,0.3
202110,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,107.339,106.799,0.76,0.64,0.6
202110,210111,WHITE SLICED LOAF BRANDED 750G,1,1,100.173,100.311,1.14,1,0.9
202110,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,99.112,99.479,0.95,0.8,0.75
202110,210114,CHILLED GARLIC BREAD,1,1,100.604,100.488,1.14,1.12,0.9
202110,210201,FLOUR-SELF-RAISING-1.5KG,1,1,89.561,89.384,0.38,0.2,0.3
202110,210204,DRY SPAGHETTI OR PASTA 500G,1,1,107.032,107.922,0.19,0.4,0.15
202110,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,100.59,100.27,0.6,0.32,0.48
202110,210212,BASMATI RICE 500G-1KG,1,1,99.396,99.775,0.38,0.52,0.3
202110,210213,BREAKFAST CEREAL 1,1,1,103.063,102.819,1.14,0.48,0.9
202110,210214,BREAKFAST CEREAL 2,1,1,105.087,104.761,1.71,0.8,1.35
202110,210215,CEREAL BAR,1,1,91.244,91.895,0.57,0.48,0.45
202110,210216,HOT OAT CEREAL,1,1,100.753,100.573,0.38,0.16,0.3
202110,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,101.441,101.331,0.19,0.12,0.15
202110,210218,"POPCORN, BAG, 10-30G",1,1,100.208,100.023,0.76,0.36,0.6
202110,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,102.308,103.428,0.19,0.12,0.15
202110,210221,COUSCOUS PLAIN/FLAVOURED,1,1,99.768,99.871,0.19,0.04,0.15
202110,210301,CREAM CRACKERS PACK 200G-300G,1,1,100.634,100.04,0.57,0.63,0.45
202110,210302,PLAIN BISCUITS-200-300G,1,1,103.609,102.682,1.52,1.4,1.2
202110,210319,DOUGHNUT-EACH,1,1,103.13,103.425,0.95,0.98,0.75
202110,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,99.607,100.331,0.95,0.91,0.75
202110,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,107.767,106.307,1.33,1.33,1.05
202110,210323,BISCUITS HALF CHOC 260-400G,1,1,92.615,94.152,0.76,0.77,0.6
202110,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,1,99.213,98.11,0.95,0.98,0.75
202110,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,102.062,102.103,0.84,1.24,0.64
202110,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,104.934,105.266,1.05,1.68,0.8
202110,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,100.407,100.488,0.42,0.52,0.32
202110,210416,BEEF ROASTING JOINT PER KG,1,1,103.222,103.683,0.42,0.56,0.32
202110,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,105.676,105.123,0.63,0.4,0.48
202110,210507,HOME KILLED LAMB SHOULDER KG,1,1,107.61,108.22,1.05,0.6,0.8
202110,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,103.257,103.514,1.05,1,0.8
202110,210802,BACON-GAMMON-PER KG,1,1,100.471,100.686,0.63,0.24,0.48
202110,210808,BACON-BACK-PER KG,1,1,98.981,98.75,1.89,0.76,1.44
202110,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,103.434,103.251,0.84,1.08,0.64
202110,210910,FRESH BONELESS CHICKEN BREAST,1,1,100.31,100.33,1.68,2.36,1.28
202110,210913,ROTISSERIE CHICKEN [WHOLE],1,1,104.112,104.184,0.21,0.2,0.16
202110,210914,FRESH TURKEY DICED/MIN PER KG,1,1,108.149,108.721,0.21,0.36,0.16
202110,211007,CANNED MEAT-STEWED STEAK,1,1,98.577,98.853,0.21,0.18,0.16
202110,211011,INDIVIDUAL MEAT PIE,1,1,101.989,102.843,0.84,0.84,0.64
202110,211014,SAUSAGES-PORK-PER KG,1,1,102.176,102.217,2.1,0.78,1.6
202110,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,97.089,96.609,0.63,0.54,0.48
202110,211023,COOKED HAM PREPACKED SLICED,1,1,98.028,98.407,2.52,1.02,1.92
202110,211024,CONTINENTAL SLICED DELI MEAT,1,1,97.311,97.645,0.84,0.36,0.64
202110,211025,JOINT OV/READ GAM/POR 450-900G,1,1,96.998,96.092,0.21,0.12,0.16
202110,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,103.035,104.296,0.63,0.54,0.48
202110,211027,H K LIVER PER KG STATE TYPE,1,1,103.598,103.486,0.21,0.06,0.16
202110,211029,COOKED MEAT TURKEY/CHICK SLICE,1,1,101.545,101.444,0.42,0.54,0.32
202110,211030,MEAT BASED SNACK PACK MAX 400G,1,1,101.321,101.153,0.63,0.72,0.48
